ID_Property,PropertyType,AnnounceTH,CodeDeed,SellPrice,Costestimate,CostestimateB,MarketPrice,BathRoom,BedRoom,CarPark,HouseArea,Floor,LandR,LandG,LandWA,LandU,HomeCondition,BuildingAge,BuildFD,BuildFM,BuildFY,Directions,RoadType,RoadWide,GroundLevel,GroundValue,MoreDetails,Latitude,Longitude,AsseStatus,ObservationPoint,Location,LProvince,LAmphur,LDistrict,LZipCode,ContactUo,ContactU,ContactUt,ContactS,ContactSt,ContactSo,Blind,Neareducation,Cenmarket,Market,River,Mainroad,Insoi,Letc,airconditioner,afan,AirPurifier,Waterheater,WIFI,TV,refrigerator,microwave,gasstove,wardrobe,TCset,sofa,bed,shelves,CCTV,Securityguard,pool,Fitness,Publicarea,ShuttleBus,WVmachine,CWmachine,Elevator,Lobby,ATM,BeautySalon,Balcony,EventR,MeetingR,LivingR,Hairsalon,Laundry,Store,Supermarket,CStore,MFee,Kitchen,LandAge,Created,PPStatus,ImageEX,Owner,UserType
h8803,บ้าน,บ้านมือสองหลังใหญ่สภาพใหม่มาก, ,2990000,0,0,0,5.0,3.0,4.0,140.0,1, , ,153.0,,มือสอง,1,, ,2562,ทิศเหนือ,คอนกรีต,4 เมตร,สูงกว่าถนน,0.2,เดินสายไฟแอร์&amp;น้ำอุ่น ทุกห้อง,19.896992189362095,99.80828738947756,ฝากขาย,ห่างตลาดสดพิริยะสาขาเด่นห้า ธนาคารกรุงไทย เพียง 1 กม.,เด่นห้า,เชียงราย,เมืองเชียงราย,รอบเวียง,57000.0,794948.0,794948.0,794948.0,นายหน้า, , ,0,0,0,1,0,0,1, ,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-07-23 21:47:34,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1595515802759.jpg,79,Long-Term
h0029,บ้าน,MFU XZY,12345670,9000000,0,9200000,9120000,4.0,4.0,3.0,230.0,3, ,1,35.0,,ใหม่,13,4.0,มีนาคม,2562,ทิศเหนือ,คอนกรีต,4 เมตร,สูงกว่าถนน,0.15,final projact,20.044901205611133,99.87727620077209,ขายฝาก,มฟล ,มฟล ,เชียงราย,เมืองเชียงราย,ท่าสุด,57100.0,589139.0,589139.0,589139.0,เจ้าของ, , ,1,1,1,0,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-06-04 14:12:45,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1591254870446.jpg,58,Long-Term
h4533,บ้าน,บ้านเดี่ยวสไตล์วินเทจ ตกแต่งสวยที่สุด แต่ถูกที่สุด ในย่าน ท่าทราย สามัคคี นนทบุรี 0643029888 เข้าออกได้ 5 เส้นทาง,773647678,8300000,0,8300000,8300000,3.0,4.0,2.0,256.0,2, , ,64.0,,มือสอง,6,14.0,กุมภาพัน,2557,ทิศตะวันออกเฉียงเหนือ,ยางมะตอย,4 เมตร,สูงกว่าถนน,16.0,ปรับราคา ลงเกือบ 2 ล้านบาท สวย ใหม่ พร้อมอยู่ มากที่สุด แต่ขายในราคาถูกที่สุด บนถนนสามัคคี ท่าทราย นนทบุรี,13.886784099999998,100.5154889,ขายฝาก,ใกล้จุดขึ้นลงทางด่วน บางโคล่-แจ้งวัฒนะ,"86 สามัคคี 34, ท่าทราย, เมืองนนทบุรี, นนทบุรี",นนทบุรี,เมืองนนทบุรี,ท่าทราย,11000.0,589139.0,589139.0,589139.0,นายหน้า, , ,0,0,1,1,0,0,0, ,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-05-26 18:32:48,ยังไม่ขาย,https://landvist.xyz/images/img_1590683298748.jpg,58,Long-Term
h8497,บ้าน,ขายบ้านสวย บนเนินเขา วิวทะเล พร้อมสระว่ายน้ำ เฟอร์นิเจอร์ครบ บ้านอยู่ห่างทะเลประมาณ 1​ กิโลเมตร​,7686141,27000000,0,30000000,20000000,3.0,6.0,2.0,1600.0,3,0,3,100.0,,มือสอง,20,14.0, ,2543,ทิศตะวันตกเฉียงใต้,คอนกรีต,4 เมตร,ต่ำกว่าถนน,3.0,ขายบ้านสวย บนเนินเขา วิวทะเล พร้อมสระว่ายน้ำ เฟอร์นิเจอร์ครบ บ้านอยู่ห่างทะเลประมาณ 1​ กิโลเมตร​,8.0584068,98.40745729999999,ฝากขาย,- 25​ นาทีถึงหาดป่า​ตอง​ - 5​ นาทีถึง​อนุสาวรีย์​ - 10​ นาที​ ถึง​โลตัส​ถลาง​ - 15​ นาที​ ถึงลากูน่าเชิงทะเล - 20​ นาที​ ถึง​ตัวเมือง​ภูเก็ต​ - บ้านหลังนี้ใกล้ๆแถวสนามบิน​ภูเก็ต,-,ภูเก็ต,ถลาง,ป่าคลอก,83110.0,591266.0,591266.0,591266.0,นายหน้า, , ,1,0,0,0,0,1,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-05-07 23:55:21,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1591376862114.jpg,59,Long-Term
h1658,บ้าน,ขาย หมู่บ้านบางทอง กะทู้ ภูเก็ต ขนาด 102 ตรว. บ้านสวย พร้อมอยู่ - PRN,7622705,6790000,0,5000000,6520000,2.0,3.0,2.0,250.0,1,0,1,2.0,,ใหม่,5,14.0, ,2558,ทิศตะวันออกเฉียงเหนือ,คอนกรีต,8 เมตร,สูงกว่าถนน,0.1,ขาย หมู่บ้านบางทอง กะทู้ ภูเก็ต ขนาด 102 ตรว. บ้านสวย พร้อมอยู่,7.92191839999999,98.3312426,ฝากขาย,-,หมู่บ้านบางทอง,ภูเก็ต,กะทู้,กะทู้,83120.0,591856.0,591856.0,591856.0,นายหน้า, , ,0,0,0,0,0,0,1, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-05-07 23:37:35,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1591378094983.jpg,59,Long-Term
h9124,บ้าน,ขายบ้านเดี่ยว ภูเก็ต,2366186,19000000,0,20000000,25000000,5.0,5.0,2.0,400.0,2,1,1,92.0,,มือสอง,20,14.0, ,2543,ทิศตะวันตกเฉียงใต้,คอนกรีต,8 เมตร,สูงกว่าถนน,0.3,ขายบ้านเดี่ยว ภูเก็ต เจ้าของขายเอง,7.888023400000002,98.4269649,ฝากขาย,-,11/20 เทพประทาน,ภูเก็ต,เมืองภูเก็ต,รัษฎา,83000.0,591856.0,591856.0,591856.0,เจ้าของ, , ,0,0,0,0,0,1,0, ,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-05-07 22:56:58,ยังไม่ขาย,https://landvist.xyz/images/img_1588867089848.jpg,59,Long-Term
h0769,บ้าน,R005-002 ขาย บ้านเดี่ยว ฮาบิเทีย เกาะแก้ว ภูเก็ต Habitia Koh Kaew Phuket For Sale,7924824,7500000,0,6000000,8000000,2.0,3.0,0.0,118.0,2,0,0,35.0,,ใหม่,9,14.0, ,2554,ทิศตะวันออก,คอนกรีต,8 เมตร,สูงกว่าถนน,0.5,R005-002 ขาย ฮาบิเทีย เกาะแก้ว ภูเก็ต,7.954262399999998,98.3888633,ฝากขาย,"ใกล้ IKEA, ตลาดโบ้ทพลาซ่า, โลตัสสามกอง, ซุปเปอร์ชีปสาขาใหญ่,",-,ภูเก็ต,เมืองภูเก็ต,เกาะแก้ว,83000.0,591856.0,591856.0,591856.0,นายหน้า, , ,0,0,1,1,0,0,0, ,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-05-07 22:46:17,ยังไม่ขาย,https://landvist.xyz/images/img_1588866469210.jpg,59,Long-Term
h9488,บ้าน,6C80141 ขายบ้าน สไตล์รีสอร์ท พร้อมสระว่ายน้ำแบบส่วนตัว บนพื้นที่ 345 ตารางวา มี 12 ห้องนอน 13 ห้องน้ำทำเลทอง อุปกรณ์ภายในครบครันจัดเต็ม,7589875,48000000,0,50000000,55000000,9.0,10.0,9.0,1380.0,2,0,3,45.0,,มือสอง,18,14.0, ,2545,ทิศตะวันตกเฉียงเหนือ,คอนกรีต,8 เมตร,สูงกว่าถนน,0.3,ขายบ้าน สไตล์รีสอร์ท พร้อมสระว่ายน้ำแบบส่วนตัว บนพื้นที่ 345 ตารางวา มี 12 ห้องนอน 13 ห้องน้ำ 1 ห้องแม่บ้าน จอดรถได้ 9 คัน,7.7930600000000005,98.3259003,ฝากขาย,- หาดในหาน 4 กม. - แหลมพรมเทพ 5.8 กม. - Tesco Lotus Rawai 6 กม. - หาดราไวย์,-,ภูเก็ต,เมืองภูเก็ต,ราไวย์,83130.0,591856.0,591856.0,591856.0,นายหน้า, , ,0,0,1,1,1,0,0, ,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-05-07 22:38:03,ยังไม่ขาย,https://landvist.xyz/images/img_1588866052006.jpg,59,Long-Term
h5823,บ้าน,ขายบ้านเดี่ยว บ้านสวนพฤกษา 304 เฟส 1 ศรีมหาโพธิ ปราจีนบุรี,7531035,2800000,0,3000000,2500000,2.0,3.0,2.0,120.0,1,0,0,70.0,,มือสอง,14,14.0, ,2549,ทิศตะวันตกเฉียงเหนือ,คอนกรีต,12 เมตร,สูงกว่าถนน,0.3,บ้านเดี่ยว 1 ชั้น สร้างบนเนื้อที่ 70.0 ตารางวา พื้นที่ใช้สอยประมาณ 120.00 ตารางเมตร,13.884018,101.5894766,ฝากขาย,การเดินทางสะดวกสบายย่านธุรกิจ 304,บ้านสวนพฤกษา 304 เฟส 1,ปราจีนบุรี,ศรีมหาโพธิ,กรอกสมบูรณ์,25140.0,599965.0,599965.0,599965.0,นายหน้า, , ,0,0,0,0,0,0,1, ,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-05-07 18:12:49,ยังไม่ขาย,https://landvist.xyz/images/img_1588850075042.jpg,59,Long-Term
h2170,บ้าน,ขาย ที่ดิน พร้อมบ้าน อ. นาดี ปราจีน เนื้อที่ 288 ตร. ว.,7049648,2000000,0,1500000,2000000,1.0,2.0,4.0,1152.0,2,0,2,88.0,,มือสอง,19,14.0, ,2544,ทิศเหนือ,คอนกรีต,4 เมตร,สูงกว่าถนน,0.5,"ขาย ที่ดิน พร้อมบ้าน อ.นาดี ปราจีน เนื้อที่ 288 ตร.ว. ราคา 2,000,000 บาท",14.1007509,101.7637775,ฝากขาย, วัดบ้านแห่ • แยกกบินทร์บุรี • โลตัสกบินทร์บุรี • ศาลเจ้าพ่อเสือ,-,ปราจีนบุรี,นาดี,สำพันตา,25220.0,599785.0,599785.0,599785.0,นายหน้า, , ,0,0,0,0,0,0,1, ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2020-05-07 17:59:55,ยังไม่ขาย,https://landvist.xyz/images/img_1588849315298.jpg,59,Long-Term
