PropertyType_n,SellPrice,CostestimateB,MarketPrice,HouseArea,Floor,HomeCondition_n,BuildingAge,RoadType_n,AsseStatus_n,UserType_n
1,2990000,0,0,140.0,1,2,1,1,2,0
1,9000000,9200000,9120000,230.0,3,3,13,1,0,0
1,8300000,8300000,8300000,256.0,2,2,6,3,0,0
1,27000000,30000000,20000000,1600.0,3,2,20,1,2,0
1,6790000,5000000,6520000,250.0,1,3,5,1,2,0
1,19000000,20000000,25000000,400.0,2,2,20,1,2,0
1,7500000,6000000,8000000,118.0,2,3,9,1,2,0
1,48000000,50000000,55000000,1380.0,2,2,18,1,2,0
1,2800000,3000000,2500000,120.0,1,2,14,1,2,0
1,2000000,1500000,2000000,1152.0,2,2,19,1,2,0
1,8900000,10000000,8000000,1908.0,2,2,38,4,2,0
1,3800000,4000000,3000000,2372.0,1,3,18,1,2,0
1,2990000,3000000,3500000,144.0,2,2,11,1,2,0
1,2500000,3000000,3000000,106.0,1,2,19,1,2,0
1,3500000,4000000,4500000,150.0,1,2,18,1,2,0
1,450000,200000,500000,100.0,1,2,65,1,2,0
1,2500000,2000000,3000000,150.0,1,2,38,1,2,0
1,2500000,3000000,2800000,100.0,1,2,18,1,2,0
1,15500000,16000000,17000000,480.0,2,3,7,1,2,0
1,2190000,2500000,2000000,91.0,2,3,6,1,2,0
1,2290000,2300000,2500000,105.0,2,3,4,1,2,0
1,10800000,12000000,10000000,400.0,2,3,5,1,2,0
1,3790000,4000000,4300000,150.0,2,0,12,1,2,0
1,13000000,15000000,13500000,738.0,1,3,5,1,2,0
1,5390000,5500000,5000000,160.0,2,3,3,1,2,0
1,6000000,6500000,5500000,200.0,1,2,16,1,2,0
1,7500000,7520000,7500000,225.0,2,2,13,1,0,0
1,1950000,1950000,2000000,68.0,2,2,12,1,1,0
1,2350000,2350000,2400000,124.0,1,2,13,1,0,0
1,1380000,1390000,1390000,88.0,2,2,16,1,0,0
1,3500000,3500000,3550000,80.0,3,2,4,1,0,0
1,3290000,3290000,3340000,80.0,3,3,1,1,0,0
1,1950000,1980000,1950000,69.2,2,2,14,1,0,0
1,2500000,2600000,2603000,140.0,2,2,12,1,1,0
1,1800000,2010000,2005000,108.0,2,2,13,1,0,0
1,2650000,3000000,2500000,130.0,1,2,11,1,0,0
1,6500000,7000000,6800000,300.0,2,2,12,1,0,0
1,4000000,3500000,4000000,140.0,2,2,10,1,2,0
1,2650000,3000000,2500000,105.0,1,2,14,1,2,0
1,4200000,5000000,5500000,160.0,2,2,9,1,2,0
1,6790000,7000000,6500000,245.0,2,2,8,1,2,0
1,2490000,3000000,3500000,150.0,1,2,13,1,2,0
1,2200000,2000000,2500000,248.0,1,2,10,1,2,0
1,4200000,5000000,4500000,100.0,1,2,8,1,2,0
1,5500000,5620000,5630000,248.0,2,2,6,1,0,0
1,5500000,5600000,5600000,170.0,1,3,2,1,0,0
1,4800000,4800000,4790000,280.0,2,3,1,1,2,0
1,3800000,3790000,3800000,760.0,2,2,14,1,0,0
1,7500000,7560000,7561000,792.0,2,2,5,1,0,0
1,28000000,28010000,28015000,48156.0,2,2,14,1,0,0
1,2240000,2245000,2240000,120.0,2,3,1,1,0,0
1,12000000,12010000,12010000,704.0,2,2,12,1,0,0
1,40000000,41000000,41000000,756.0,1,2,8,1,0,0
1,25000000,25000000,25010000,1096.0,2,2,11,1,0,0
1,2950000,3010000,3000000,216.0,1,2,3,1,2,0
1,17000000,17090000,17100000,692.0,1,2,12,1,0,0
1,2300000,2360000,2350000,420.0,2,2,8,1,0,0
1,300000,310000,310000,840.0,2,3,1,1,1,0
1,4490000,4500000,4500000,152.0,2,3,1,1,0,0
1,35900000,36000000,36000000,632.0,2,3,1,1,0,0
1,2890000,2900000,2890000,600.0,1,2,4,1,3,0
1,6500000,6490000,6500000,464.0,2,2,4,1,3,0
1,6500000,6500000,6500000,178.0,1,0,4,1,0,0
1,7500000,7500000,7500000,66.9,2,2,3,1,3,0
1,8000000,8200000,8120000,75.0,0,3,1,1,3,0
1,9200000,9200000,9900000,103.0,2,2,7,1,3,0
1,5830000,5831000,5830000,58.0,1,2,4,1,3,0
1,5000000,5200000,5100000,45.0,1,2,6,1,3,0
2,3300000,3300000,3300000,36.8,1,2,13,1,1,0
1,4500000,4300000,4400000,400.0,1,2,2,4,3,0
1,6980000,6800000,6990000,305.0,1,3,1,1,3,0
0,1950000,2000000,1690000,30.0,6,3,5,1,3,0
1,2000000,2000000,2000000,200.0,1,2,17,1,3,0
0,1900000,2000000,1950000,30.0,5,2,12,0,3,0
1,7000000,6000000,6000000,150.0,2,2,11,1,1,0
0,3400000,3500000,3700000,35.0,2,2,3,1,3,0
1,4000000,5000000,4000000,100.0,2,2,12,1,3,0
0,2300000,2300000,2320000,39.3,6,2,6,1,3,0
0,1830000,1920000,1790000,30.0,5,3,6,1,3,0
1,1000000,2000000,1000000,400.0,2,2,14,4,3,0
1,6000000,7000000,6000000,150.0,2,2,9,1,3,0
1,4000000,5000000,4000000,113.0,2,2,4,1,3,0
0,1000000,1200000,1000000,34.0,2,3,7,1,3,0
1,2000000,2000000,2000000,35.0,1,3,1,1,1,0
1,4000000,4000000,4000000,202.05,2,2,3,1,3,0
1,3000000,4000000,3000000,140.0,2,2,15,0,3,0
2,8000000,7000000,8000000,450.0,4,3,6,1,1,0
2,4000000,4100000,4300000,240.0,4,3,13,1,0,0
1,2000000,2400000,1800000,336.0,1,3,4,1,2,0
1,2000000,3000000,2000000,240.0,1,3,3,1,2,0
2,2000000,1000000,2000000,135.0,2,2,6,1,3,0
1,8000000,9000000,8000000,400.0,1,2,7,3,2,0
1,1500000,1300000,1700000,18.0,2,3,2,1,2,0
1,1000000,1000000,1000000,30.0,1,3,2,1,2,0
1,19000000,20000000,19000000,0.0,2,3,4,0,2,0
1,2200000,1980000,0,125.0,2,3,4,1,2,0
1,2300000,2070000,0,130.0,2,3,4,1,2,0
1,1900000,1710000,0,120.0,2,3,4,1,2,0
1,2100000,1890000,0,100.0,2,3,4,1,2,0
1,1789000,1610100,0,110.0,2,3,4,1,2,0
1,1610000,1449000,0,0.0,2,3,2,1,2,0
1,4000000,3600000,0,133.0,2,3,1,1,2,0
1,2990000,2691000,0,182.0,3,3,5,1,2,0
1,3990000,3591000,0,200.0,3,3,6,1,2,0
1,2450000,2205000,0,95.0,3,3,0,1,2,0
