ID_Lands,ColorType,AnnounceTH,CodeDeed,TypeCode,CodeProperty,SellPrice,Costestimate,CostestimateB,MarketPrice,PriceWA,LandR,LandG,LandWA,Land,Deed,RoadType,RoadWide,GroundLevel,GroundValue,MoreDetails,Latitude,Longitude,AsseStatus,ObservationPoint,Location,LProvince,LAmphur,LDistrict,LZipCode,ContactUo,ContactSo,ContactUt,ContactSt,ContactU,ContactS,Place,Blind,Neareducation,Cenmarket,Market,River,Mainroad,Insoi,Letc,WxD,LandAge,PPStatus,ImageEX,Owner,Created,UserType
l0075,พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม,ขายที่ดินแปลงสวย 1 ไร่ 3 งาน อ. แม่ริม จ. เชี,l0075, ,562,7000000,8000000,8000000,7500000,0.0,1.0,4,0.0,50*56,น.ส.4จ.,คอนกรีต,8 เมตร,สูงกว่าถนน,1.0,สภาพที่ดินเป็นเนินเขา ปลูกหญ้า ปลูกต้นไม้ ไม้ดอก เป็นแนวรั้ว ธรรมชาติสวยงามมาก มีไฟฟ้าและประปาหมู่บ้านเข้าถึง ที่ดินได้รับการดูแลเป็นอย่างดีสามารถปลูกบ้านพักอาศ ัย หรือรีสอร์ทได้ทันที,18.8844312,98.82063509999999,ว่าง,การเดินทางสะดวกมาก จากถนนหลัก 1096 ผ่านนำ้ตกแ,1096,เชียงใหม่,แม่ริม,โป่งแยง,50180,10.0, ,10, ,10,เจ้าของ, ,0,0,1,1,0,1,0, ,,5,ยังไม่ขาย,https://landvist.xyz/images/img_1589049746930.jpg,27,1477-05-09 00:07:21,Long-Term
l0316,พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า,Training,l0316, , ,3600000,3200000,3000000,3400000,750.0,12.0,0,0.0,138x139,น.ส.4จ.,ยางมะตอย,4 เมตร,ต่ำกว่าถนน,0.4, ,20.050541924516825,99.87958277649868,ว่าง, ,000,ลพบุรี,เมืองลพบุรี,โคกตูม,15210,127.0, ,127, ,127,นายหน้า, ,0,0,0,0,0,1,0, ,,5,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,30,1476-11-17 08:18:33,Short-Term
l0401,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ที่สวย ทำเลงาม บางเสร่,l0401, ,621,8720000,8600000,8500000,8600000,16000.0,1.0,1,45.0,30*87,น.ส.3,คอนกรีต,4 เมตร,ต่ำกว่าถนน,0.1,- ติดถนนสองด้าน ด้านหน้ากว้าง 30 เมตร ลึก 87 เมตร ด้านข้างติดถนน 30 เมตร,12.765527179500792,100.90110295612793,ว่าง,- ห่างทะเลบางเสร่ 5 นาที  - ถนนคอนกรีตทั้งสอง,Unnamed Road,ชลบุรี,สัตหีบ,บางเสร่,20250,127.0, ,127, ,127,นายหน้า, ,0,0,0,1,0,0,1, ,,3,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,27,1476-11-18 04:27:40,Long-Term
l0437,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,ขายที่ดินเปล่า เนื้อที่ 100 ไร่ ต. ดงมหาวัน อ,l0437, ,6402761,45000000,44200000,43500000,46000000,1125.0,100.0,2,4.0,10*10,น.ส.4จ.,โคลน,ซอยแคบ,สูงกว่าถนน,0.2, ,12.765527179500792,100.90110295612793,ว่าง,องค์การบริหารส่วนตำบลดงมหาวัน, ต. ดงมหาวัน อ. เวียงเชียงรุ้ง จ. เชียงราย,เชียงราย,เวียงเชียงรุ้ง,ดงมหาวัน,57210,127.0, ,127, ,127,เจ้าของ, ,0,0,0,0,0,1,0, ,,3, ,https://landvist.xyz/images/mg_1569590149875.jpg,27,1476-09-27 10:45:32,Long-Term
l0438,พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก,ขายที่ดินบางซ่อน เขตบางซื่อ ,l0438, ,237,26400000,25200000,25400000,26000000,99999.99999,0.0,1,76.0,20*35.2,ส.ค.1,คอนกรีต,4 เมตร,ต่ำกว่าถนน,0.1,เข้าซอยเพียง 100 เมตร จากปากซอย 50 เมตร เป็นสถานีรถไฟฟ้าบางซ่อนสายสีม่วง และจากปากซอย 100 เมตร เป็นสถานีรถไฟฟ้าบางซ่อนสายสีแดงอ่อนและชานชาลารถไฟไ ทย ใต้สถานีรถไฟฟ้าเป็นตลาดชุมทางสยามยิปซี ตลาดสดบางซ่อน เหมาะสำหรับอยู่อาศัย ทำอาคารสำนักงาน หรือเพื่อการลงทุนและเก็งกำไร,13.8210122,100.5343289,ว่าง,สถานีรถไฟฟ้าบางซ่อน 50 เมตร บิ๊กซีวงศ์สว่าง 1,1454 กรุงเทพ-นนทบุรี 36,กรุงเทพมหานคร,เขตบางซื่อ,บางซื่อ,10800,127.0, ,127,นายหน้า,127,เจ้าของ, ,0,1,1,1,0,0,1, ,,3,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1591201082008.jpg,27,1476-11-21 16:00:32,Long-Term
l0447,พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม,"Land In Lang Suan, Chumphon",l0447, ,412,8200000,8600000,8660000,8430000,3009.17431,6.0,3,25.0,109*100,น.ส.3,โคลน,2 เมตร,สูงกว่าถนน,0.1,"Land for sale close to the beach , nearly Koh Pitak, Lang Suan , Chumphon",9.9537341,99.0761165,ว่าง,"Beach nearly Koh Pitak,Lang Suan , Chumphon",4012,ชุมพร,หลังสวน,บางน้ำจืด,86150,272088.0, ,272088, ,272088,นายหน้า, ,0,0,0,0,1,0,0, ,,10,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1591203103485.jpg,27,1477-05-10 08:22:05,Long-Term
l0456,พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,Training,l0456, ,665000,654000,615000,600000,630000,3336.73469,0.0,0,196.0,400x200,น.ส.3,คอนกรีต,2 เมตร,ต่ำกว่าถนน,0.6, ,20.050541628023574,99.87963300307855,ว่าง,โรงพยาบาล, ,เชียงใหม่,สันกำแพง,*ห้วยแก้ว, ,127.0, ,127, ,127,เจ้าของ, ,0,0,0,0,0,0,1, ,,5,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,63,1476-11-17 08:53:28,Long-Term
l0466,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ขายที่ดิน ที่ดินเปล่าสันทราย เชียงใหม่ หลังม.แม่โจ้,l0466, , ,1200000,0,0,0,375.0,8.0,0,0.0,0,น.ส.3ก.,คอนกรีต,8 เมตร,สูงกว่าถนน,0.0, ,18.9087042,99.0239444,ฝากขาย,- ติดเส้นคลองชลประทาน - ใกล้มหาวิทยาลัยแม่โจ้,สันทราย เชียงใหม่,เชียงใหม่,สันทราย,ป่าไผ่,50210,794948.0, ,794948, ,794948,เจ้าของ, ,0,1,0,1,0,1,0, ,,0,ยังไม่ขาย,https://landvist.xyz/images/NewImg/img_1598964342644.jpg,79,1457-01-01 17:00:00,Short-Term
l0536,พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า,test model land, , ,2000000,2000000,2000000,2000000,3000000,6000.0,60.0,10,40.0, ,น.ส.3ก.,คอนกรีต,8 เมตร,ต่ำกว่าถนน,40.0,60,37.42199829999999,-122.084,ขายฝาก, , ,กระบี่,คลองท่อม,คลองท่อมเหนือ,81120,465364.0,เจ้าของ, , , , , ,0,0,0,0,0,0,0,0,0,0, ,https://www.landvist.xyz/images/Defult/Defult.png,46,1477-06-08 03:08:59,Short-Term
l0557,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,ขายที่ดินจัดสรร ใกล้สนามบิน แปลงที่ 15,l0557, , ,1340000,0,0,0,7089.94709,0.0,0,189.0,22*34,น.ส.3ก.,คอนกรีต,8 เมตร,สูงกว่าถนน,0.0, ,19.955278,99.891194,ฝากขาย,สนามบินเชียงราย,บ้านดู่,เชียงราย,เมืองเชียงราย,บ้านดู่,57100,796859.0, ,796859, ,796859,นายหน้า, ,0,1,0,0,1,1,1, ,0,0,ยังไม่ขาย,https://landvist.xyz/images/Defult/Defult.png,79,1457-01-01 17:00:00,Short-Term
