ColorType_n,CostestimateB,SellPrice,MarketPrice,RoadType_n,AsseStatus_n,UserType_n
1,8000000,7000000,7500000,1,4,0
4,3000000,3600000,3400000,3,4,1
5,8500000,8720000,8600000,1,4,0
6,43500000,45000000,46000000,6,4,0
2,25400000,26400000,26000000,1,4,0
1,8660000,8200000,8430000,6,4,0
9,600000,654000,630000,1,4,0
5,0,1200000,0,1,3,1
4,2000000,2000000,3000000,1,1,1
5,0,1340000,0,1,3,1
5,0,1032000,0,1,3,1
6,4500000,4300000,4500000,3,4,0
9,3500000,3700000,3900000,6,4,0
5,0,2800000,0,1,3,1
5,0,1000000,0,1,3,1
9,58600000,57000000,58500000,1,4,0
5,8000000,7500000,7000000,3,4,0
9,800000,790000,850000,3,4,0
6,10500000,10000000,10000000,6,3,0
5,0,600000,0,1,3,1
9,3870000,3950000,0,1,3,1
7,19700000,18500000,19800000,6,4,0
5,0,2800000,0,1,3,1
9,279400000,279300000,279400000,1,2,1
5,1480000,1490000,1500000,1,4,1
4,25000000,21000000,20000000,6,4,1
4,40000000,38750000,39000000,3,4,0
6,250000,320000,280000,3,4,0
8,930000,1000000,900000,1,2,0
9,2160000,2100000,2100000,1,4,0
0,4500000,500000,4430000,5,0,0
6,10000000,8160000,8500000,3,4,0
5,0,1014000,0,1,3,1
1,6000000,6270000,6500000,6,4,0
6,225000000,225000000,226100000,6,3,1
5,0,750000,0,1,3,1
5,0,600000,0,1,3,1
9,0,9500000,0,6,3,1
6,19900000,19200000,19900000,6,1,0
2,2000000,1800000,2500000,1,4,1
5,15000000,13475000,20000000,1,4,1
2,30000000,24900000,28000000,1,4,1
9,0,2900000,0,1,3,1
6,13000000,15000000,14000000,1,4,0
1,30000000,13730000,50000000,3,4,1
4,0,0,0,3,0,1
5,0,750000,0,1,3,1
2,4000000,4400000,5000000,3,4,0
5,50000000,72000000,70000000,1,3,0
9,500000,700000,650000,1,4,0
6,20000000,15000000,15000000,3,4,0
2,11800000,12000000,12000000,1,4,0
5,0,1006500,0,1,3,1
5,4500000,4200000,4500000,3,3,0
2,600000000,690000000,610000000,1,4,1
5,0,1140000,0,1,3,1
6,10000,10000,10000,1,4,0
2,30000000,31360000,31000000,1,4,0
6,24000000,22500000,20000000,1,3,0
2,9000000,10000000,8900000,1,4,0
5,95000000,95000000,95000000,3,1,1
2,11111,1111,111,0,1,1
9,500000,350000,400000,1,4,0
9,0,1334275,0,6,3,1
6,10200000,11000000,11100000,6,4,0
6,20000000,11972000,10000000,3,4,0
6,10000000,11850000,15000000,3,4,0
6,7690000,7699000,7699440,3,4,0
6,0,2000000,0,3,3,1
5,0,2800000,0,1,3,1
9,5000000,4200000,4000000,1,2,0
1,1500000,1150000,1000000,1,4,1
5,0,1122000,0,1,3,1
