SellPrice,Costestimate,CostestimateB,MarketPrice,PriceWA,LandR,LandG,Blind,Neareducation,Cenmarket,Market,River,Mainroad,Insoi,ID_Lands_n,ColorType_n,AsseStatus_n,LAmphur_n,LDistrict_n,UserType_n
690000000,590000000,600000000,610000000,99999.99999,12,2,0,1,1,1,0,1,0,33,2,4,40,9,0
127560000,135000000,130000000,125000000,300.0,1063,0,0,0,0,0,0,0,1,73,6,4,34,77,1
122508000,100000000,120000000,150000000,36000.0,8,2,0,1,1,1,0,1,0,70,2,4,59,15,0
122400000,125000000,130000000,140000000,10000.81706,30,2,0,0,0,0,0,1,1,76,5,4,42,12,1
110000000,200000000,190000000,100000000,4179.8077299999995,65,3,0,0,0,0,0,1,0,58,1,4,5,42,1
82000000,80000000,80000000,82500000,6416.777529999999,31,0,0,0,0,0,0,1,0,61,5,4,56,21,0
81000000,80000000,79000000,80000000,6338.5241399999995,31,0,0,0,0,0,0,1,0,79,5,4,56,21,0
80000000,65000000,50000000,85000000,99999.99999,0,2,0,1,1,0,0,0,1,85,5,4,49,52,0
72000000,50000000,50000000,70000000,36000.0,4,3,0,1,1,1,0,0,1,28,5,3,43,20,0
57000000,58200000,58600000,58500000,72319.202,2,0,0,0,1,0,0,0,1,9,9,4,44,22,1
56000000,55500000,57000000,56000000,1250.0,112,0,0,0,0,0,0,0,1,80,6,3,27,51,0
50000000,48500000,48000000,49000000,10416.66667,12,0,0,0,0,0,0,1,0,60,10,1,18,44,0
45000000,44200000,43500000,46000000,1125.0,100,2,0,0,0,0,0,1,0,3,6,4,62,6,0
45000000,5000000,50000000,6000000,0.0,100,0,0,0,0,0,1,0,0,49,1,1,62,6,1
45000000,5000000,50000000,6000000,0.0,100,0,0,0,0,0,1,0,0,55,1,1,62,6,1
41730000,41000000,41000000,42000000,14951.63024,3,2,0,0,0,0,0,0,1,56,4,4,10,29,0
38750000,40000000,40000000,39000000,6191.0848399999995,15,2,0,1,0,0,0,1,0,16,4,4,31,73,1
35900000,35000000,35900000,35900000,448750.0,3,2,0,0,0,0,0,0,1,75,9,4,2,40,0
31360000,29800000,30000000,31000000,99999.99999,0,0,0,1,1,0,0,0,1,35,2,4,41,59,0
30000000,29000000,28000000,29500000,6250.0,12,0,1,0,0,0,0,0,0,87,4,4,57,14,0
26400000,25200000,25400000,26000000,99999.99999,0,1,0,1,1,1,0,0,1,4,2,4,43,20,0
24900000,32000000,30000000,28000000,92222.22222000001,0,2,0,1,1,1,0,0,1,24,2,4,54,27,1
22500000,25000000,24000000,20000000,244565.0,25,2,0,0,0,0,0,0,1,36,6,3,63,5,1
21846000,30000000,25000000,20000000,2000.0,27,1,0,0,0,0,0,1,0,57,9,4,24,72,1
21000000,25000000,25000000,20000000,4741.47663,11,0,0,0,0,0,1,0,1,15,4,4,17,56,1
20000000,30000000,30000000,20000000,5263.1578899999995,9,2,0,0,1,0,0,1,0,68,10,4,3,64,1
18500000,19600000,19700000,19800000,990.0990099999999,20,120,1,1,0,0,0,0,0,13,7,4,47,48,1
16200000,16000000,16000000,15000000,12857.14286,3,0,0,0,1,0,0,1,0,88,4,4,55,1,0
15000000,12500000,13000000,14000000,0.0,2,2,0,0,0,0,0,0,1,25,6,4,39,67,0
15000000,20000000,20000000,15000000,16891.89189,2,0,1,0,0,0,0,0,1,30,6,4,45,24,1
14204250,15000000,15000000,10000000,2250.0,15,3,0,1,0,1,0,0,1,45,6,4,4,30,1
13730000,30000000,30000000,50000000,5000.0,6,3,0,0,1,0,1,1,0,26,1,4,1,41,1
13475000,15000000,15000000,20000000,49000.0,0,2,0,1,1,1,0,0,1,23,5,4,54,76,1
13000000,14000000,14000000,15000000,0.0,38,0,0,0,1,0,0,0,0,44,5,4,51,60,1
12000000,11700000,11800000,12000000,25104.60251,1,0,0,0,1,0,1,0,1,31,2,4,21,32,0
11972000,20000000,20000000,10000000,849.98225,35,0,0,0,0,0,0,0,1,39,6,4,15,11,1
11850000,10000000,10000000,15000000,6236.8421100000005,4,3,0,0,0,0,0,1,0,40,6,4,67,65,0
11000000,10268250,10200000,11100000,803.44752,34,0,0,0,0,0,0,0,1,38,6,4,26,49,0
11000000,11500000,12000000,13000000,44000.0,0,2,1,0,0,0,0,0,1,69,5,4,46,31,1
10000000,11000000,10500000,10000000,13.0,200,3,0,0,0,0,0,0,1,12,6,3,61,36,1
10000000,9990000,9900000,10000000,10000.0,2,0,0,0,0,0,0,1,1,66,3,1,14,57,0
8720000,8600000,8500000,8600000,16000.0,1,1,0,0,0,1,0,0,1,2,5,4,28,28,1
8500000,10000000,10000000,8000000,84158.41584,0,1,1,0,0,0,0,0,0,84,6,4,14,57,1
8400000,8500000,8500000,8000000,99999.99999,0,0,1,0,0,0,0,1,0,47,6,4,14,57,1
8200000,8600000,8660000,8430000,3009.1743100000003,6,3,0,0,0,0,1,0,0,5,1,4,33,23,1
8160000,10000000,10000000,8500000,400.0,51,0,0,0,0,0,0,1,0,20,6,4,38,63,1
8160000,8200000,8250000,8060000,28469.75089,0,2,0,0,0,0,1,1,0,62,3,4,32,53,1
7791000,8000000,8000000,7500000,3000.0,6,1,0,0,0,0,0,0,1,50,6,4,64,50,1
7699000,7698000,7690000,7699440,4207.10383,4,0,0,0,0,0,0,1,0,41,6,4,36,43,0
7550000,8000000,8000000,7000000,50000.0,0,1,0,1,1,1,0,0,1,64,2,4,40,54,1
7500000,8000000,8000000,7000000,831.66999,22,2,0,0,0,0,0,1,0,10,5,4,8,34,1
7000000,8000000,8000000,7500000,10000.0,1,3,0,0,1,1,0,1,0,0,1,4,64,74,1
6990000,7000000,7000000,8000000,550.52375,31,2,1,0,0,0,0,0,1,52,6,4,25,71,1
