ID_Property	PropertyType	AnnounceTH	CodeDeed	SellPrice	Costestimate	CostestimateB	MarketPrice	BathRoom	BedRoom	CarPark	HouseArea	Floor	LandR	LandG	LandWA	LandU	HomeCondition	BuildingAge	BuildFD	BuildFM	BuildFY	Directions	RoadType	RoadWide	GroundLevel	GroundValue	MoreDetails	Latitude	Longitude	AsseStatus	ObservationPoint	Location	LProvince	LAmphur	LDistrict	LZipCode	ContactUo	ContactU	ContactUt	ContactS	ContactSt	ContactSo	Blind	Neareducation	Cenmarket	Market	River	Mainroad	Insoi	Letc	airconditioner	afan	AirPurifier	Waterheater	WIFI	TV	refrigerator	microwave	gasstove	wardrobe	TCset	sofa	bed	shelves	CCTV	Securityguard	pool	Fitness	Publicarea	ShuttleBus	WVmachine	CWmachine	Elevator	Lobby	ATM	BeautySalon	Balcony	EventR	MeetingR	LivingR	Hairsalon	Laundry	Store	Supermarket	CStore	MFee	Kitchen	LandAge	Created	PPStatus	ImageEX	Owner	UserType
c0205	คอนโด	"คอนโด ราคา 1, 430, 000 บาท"	41232	1430000	0	1300000	1700000	1	1	0	34	5					มือสอง	11			2551	ทิศตะวันตก	คอนกรีต	8 เมตร			คอนโดสวยพร้อมเฟอร์นิเจอร์ครบครัน ภายในกว้างขวางตกแต่งสวยงาม มีลิฟต์ ฟิตเนส สระว่ายน้ำในคอนโด พื้นที่ติดถนนใหญ่	19.9268374	99.8656528	ว่าง	- ห้างแม็คโคร 4.4 กม. - 7-11 900 ม. - ตลาดสดบ้านดู่ 5 กม. - ตลาดบ้านใหม่ 1 กม.	631	เชียงราย	เมืองเชียงราย	ริมกก	57100				นายหน้า			0	1	1	0	0	1	0		1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	5000	1		7/10/2019 19:35		img_1570476958288.jpg	48	Long-Term
c0358	คอนโด	คอนโด1	624662	1180000	0	1160000	1160000	1	1	1	40	5					มือสอง	9			2553	ทิศใต้	คอนกรีต	4 เมตร			-	6.8327373	101.2527398	ว่าง	-	190	ตราด	เมืองตราด	บางพระ	23000	590296	590296	590296	นายหน้า			0	1	1	1	1	0	0		1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	700	1		17/11/2019 19:07	ยังไม่ขาย	Defult/Defult.png	59	Long-Term
c0373	คอนโด	Ashton อโศก พระราม 9	45225	2451400	0	2500000	2400000	1	1	0	0	50					ใหม่	1			2561	ทิศเหนือ	คอนกรีต	4 เมตร			"Ashton Asoke Rama 9 ตั้งอยู่บนหัวมุมถนนที่มีขนาดใหญ่ที่สุด ณ จุดตัดสี่แยก อโศก-พระราม 9 ซึ่งเป็นจุดเริ่มต้นอนาคตของศูนย์กลางธุรกิจแห่งใหม่ ที่เต็มไปด้วยศักยภาพในการพัฒนาและโอกาสในการเติบโตที่ขยายอย่างไร้ขอบเขต อยู่ในทำเลที่เป็นศูนย์กลางของไลฟ์สไตล์คนเมือง อีกทั้งการเดินทางสะดวกติดสถานีรถไฟฟ้า MRT สถานีพระราม 9 (ระยะห่าง 230 เมตร) และใกล้แหล่งแห่งการช้อปปิ้งขนาดใหญ่และสถานบันเทิงอีกด้วย โครงการ Ashton Asoke Rama 9 มีศักยภาพของทำเลที่ครบครันมากและเป็นองค์ประกอบที่สำคัญในการอยู่อาศัย ประกอบกับที่เป็นโครงการ Ashton ที่บ่งบอกถึงความสง่างามแห่งการใช้ชีวิต ตราตรึงไม่เสื่อมคลาย สุนทรียะภาพแห่งการอยู่อาศัย สะท้อนผ่านการสร้างสรรค์อย่างมีเอกลักษณ์ดุจศิลปะอันทรงคุณค่า ที่จะเป็นแลนด์มาร์คแห่งใหม่บนทุกทำเลศักยภาพของกรุงเทพฯโดยราคาโครงการ Ashton Asoke Rama 9 เริ่มต้นประมาณ 6,490,00 บาท"	NULL	NULL	ว่าง	MRT พระราม 9Makkasan Airport Link StationMRT เพชรบุรี	"อโศก พระราม 9 ถนนอโศก-ดินแดง, 10400, กรุงเทพ"	กรุงเทพมหานคร	เขตพญาไท	*ถนนพญาไท		465032	465032	465032	นายหน้า			0	0	0	0	0	0	0		1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0		1		7/10/2019 16:28		img_1570465701830.jpg	29	Long-Term
c0705	คอนโด	คอนโด5	652464	3825000	0	3900000	3850000	2	2	0	44	6					มือสอง	11			2551	ทิศตะวันตกเฉียงเหนือ	คอนกรีต	8 เมตร			-	13.595254	100.6071692	จำนอง	โรงพยาบาลเปาโล สมุทธปราการ	166	สมุทรปราการ	เมืองสมุทรปราการ	ปากน้ำ	10270	590829	590829	590829	นายหน้า			0	1	1	1	0	1	0		1	0	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1270	1		17/11/2019 19:33	ยังไม่ขาย	Defult/Defult.png	59	Long-Term
c0912	คอนโด	คอนโด3	462552	4017000	0	3000000	4000000	2	2	2	31	14					มือสอง	12			2550	ทิศตะวันตก	คอนกรีต	8 เมตร			-	13.8060477	100.4765191	ว่าง	โรงพยาบาลบางกรวย	94	นนทบุรี	บางกรวย	วัดชลอ	11130	592548	592548	592548	นายหน้า			0	1	0	0	0	1	1		0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	133	1		17/11/2019 19:19	ยังไม่ขาย	Defult/Defult.png	59	Long-Term
c1058	คอนโด	ไวส์คอนโดมิเนี่ยม	15201	1490000	0	1500000	1600000	1	1	1	30	6					ใหม่	3			2559	ทิศตะวันตก	คอนกรีต	8 เมตร			ทรัพย์สวยเกรด A พร้อมอยู่ คอนโด 3 ปี อยู่เองดูแลดี วิวสวย	19.9654049	99.8561929	ว่าง	ใกล้มหาลัยราชภัฏเชียงราย  ใกล้สนามบิน 2 กม.  ใกล้สวนสมเด็จพระศรีนครินทร์  ใกล้โรงแรม ibis  ใกล้ ที่ทำการไปรษณีย์บ้านดู่	459/47 (605) ตึก C ชั้น 6	เชียงราย	เมืองเชียงราย	บ้านดู่	57100				นายหน้า			0	1	1	0	0	1	0		1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	11000	1		7/10/2019 14:48		img_1570459992454.jpg	29	Short-Term
c1401	คอนโด	คอนโดย่านเศรษฐกิจ วิวสระว่ายน้ำ พื้นที่ 30 ตรม. เฟอร์นิเจอร์ครบครัน	15621	1750000	0	1800000	1800000	1	1	1	30	5					ใหม่	4			2558	ทิศตะวันออก	คอนกรีต	4 เมตร			ห้องสวยตกแต่งอย่างลงตัว มีเฟอร์นิเจอร์ให้ครบพร้อมเข้าอยู่ บรรยากาศดีเงียบสงบเป็นส่วนตัว มีความปลอดภัย การเดินทางสะดวกสบาย ใกล้สิ่งอำนวยควมสะดวก	19.9052769	99.8179869	ว่าง	เซ็นทรัลพลาซ่าเชียงราย 500 ม. บิ๊กซีเชียงราย 500 ม. โรงพยาบาลเกษมราษฎร์ 1.4 กม. ตลาดโชคเจริญ 1.7 กม.	100	เชียงราย	เมืองเชียงราย	รอบเวียง	57000				นายหน้า			0	0	1	0	0	1	0		1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	1	1	5000	1		7/10/2019 18:01		img_1570471361522.jpg	29	Short-Term
c1637	คอนโด	Training	MSG166030	1799000	0	1600000	1680000	2	3	2	11049	4					มือสอง	12			2550	ทิศเหนือ	ยางมะตอย	4 เมตร				20.0505335	99.8795625	ว่าง		666	ลำพูน	ป่าซาง	ปากบ่อง	51120	624122	624122	624122	นายหน้า			0	1	0	1	0	1	0		1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0		1		17/11/2019 11:02	ยังไม่ขาย	Defult/Defult.png	62	Long-Term
c2648	คอนโด	คอนโด9	6259564	3597000	0	3700000	3650000	1	1	1	28	5					มือสอง	13			2549	ทิศตะวันตกเฉียงใต้	คอนกรีต	8 เมตร			-	12.9235557	100.8824551	ว่าง	วัดชัยมงคล	313	ชลบุรี	เมืองชลบุรี	บางปลาสร้อย	20000	593655	593655	593655	นายหน้า			0	1	1	0	0	0	0		1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1200	0		17/11/2019 20:00	ยังไม่ขาย	Defult/Defult.png	59	Short-Term
c2651	คอนโด	คอนโด7	7895465	4077000	0	3500000	4100000	2	2	0	36	3					มือสอง	11			2551	ทิศตะวันตกเฉียงเหนือ	คอนกรีต	4 เมตร			-	14.35958612	100.5560092	ขายฝาก	โรงเรียนประตูชัย	292	พระนครศรีอยุธยา	พระนครศรีอยุธยา	ประตูชัย	13000	593385	593385	593385	นายหน้า			0	0	1	0	0	1	1		1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	100	1		17/11/2019 19:46	ยังไม่ขาย	Defult/Defult.png	59	Long-Term
c2837	คอนโด	"5C3MG0034 คอนโด 35 ตร. ม ราคา 1, 050, 000 บาท"	48653	1050000	0	1140000	1130000	1	1	1	35	5					มือสอง	18			2544	ทิศตะวันตกเฉียงเหนือ	ยางมะตอย	4 เมตร			คอนโดในโครงการ ภายในมีเฟอร์นิเจอร์ให้ครบครัน เดินทางเข้าออกสะดวกใกล้ตัวเมืองเชียงราย	20.2718669	100.0792882	ว่าง	 รพ.โอเวอร์บรุ๊ค 650 ม. - ตลาดกาดหลวง 600 ม. - รร.สามัคคีวิทยาคม 650 ม. - หอนาฬิกา 750 ม.	1233	เชียงราย	เมืองเชียงราย	รอบเวียง	57000				นายหน้า			0	1	1	0	0	0	0		1	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	300	0		8/10/2019 2:23		img_1570501410495.jpg	51	Short-Term
c4689	คอนโด	ขายคอนโด 1 ห้องนอน ติด BTS อ่อนนุช ติดห้างเซ็นจูรี่	9389950	3400000	0	3500000	3700000	1	1	1	35	2					มือสอง	3	3	มีนาคม	2559	ทิศตะวันตก	คอนกรีต	4 เมตร			ขายคอนโด 1 ห้องนอน ขนาด 35 ตร.ม. พร้อมเฟอร์นิเจอร์ครบชุด ในโครงการ The President Sukhumvit 81 คอนโดสงบ เป็นส่วนตัว มีที่จอดรถ	13.6790904	100.6384639	ว่าง	ติดห้างเซ็นจูรี่	" เดอะ เพรสซิเดนท์ สุขุมวิท 81 , ชั้น 2, พระโขนงเหนือ วัฒนา กรุงเทพมหานคร 10110"	กรุงเทพมหานคร	เขตวัฒนา	พระโขนงเหนือ	10110		382847		นายหน้า			0	0	0	1	0	0	1		1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0		7/10/2019 20:22		img_1570479810145.jpg	38	Short-Term
c6030	คอนโด	Training	GTM166029	1180000	0	1200000	1150000	1	2	1	1077	2		50	1		ใหม่	11			2551	ทิศเหนือ	ยางมะตอย	2 เมตร	สูงกว่าถนน	2.5		20.05052416	99.87957446	ว่าง		33/3 ม.8	ลำพูน	ป่าซาง	นครเจดีย์	51120	624122	624122	624122	นายหน้า			0	0	0	1	0	0	0		1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		1		17/11/2019 10:57	ยังไม่ขาย	Defult/Defult.png	62	Long-Term
c6241	คอนโด	5C1MG0219 คอนโดย่านเศรษฐกิจ พื้นที่ 30 ตารางเมตร	654743	1900000	0	2000000	1950000	1	1	1	30	5					มือสอง	12			2550	ทิศเหนือ	คอนกรีต	8 เมตร			คอนโดย่านเศรษฐกิจ ความเพียบพร้อมความน่าอยู่ กับสไตล์คอนโดหรู ที่ตอบโจทย์ความคุ้มค่า คอนโดในโครงการพร้อมคลัปเฮ้าส์สระว้ายน้ำ ระบบการรักษาความปลอดภัยที่ดี มาตราฐานคุณภาพความเป็นอยู่ที่ตอบสนองความต้องการของ ผู้พักอาศัย ด้วยทำเลที่โดดเด่น ภายในกว้างขวางเป็นส่วนตัว อุปกรณ์ครบครัน เดินทางสะดวก ใกล้ตลาด ห้างสรรพสินค้า	"19.9268374"""		ว่าง	-ตลาดบ้านใหม่ 1.5 กม. -วัดร่องเสือเต้น 2.0 กม. -ท่าอากาศยานแม่ฟ้าหลวง 5.8 กม. -บิ๊กซี บ้านดู่ 5.0 กม.	468	เชียงราย	เมืองเชียงราย	ริมกก	57100				นายหน้า			0	0	0	0	0	0	0		1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0		8/10/2019 2:15		img_1570501012425.jpg	51	Short-Term
c6261	คอนโด	"--ถูกสุดในโครงการ-- ขาย คอนโด เดอะ ลุมพินี 24, 55 ม. 2 ชั้น 12, 2 นอน, 2 น้ำ, วิวสวย"	44512	10550000	0	11200000	10600000	2	2	1	55	12					ใหม่	2			2560	ทิศเหนือ	คอนกรีต	12 เมตร			"++ราคาถูกสุดในติดต่อ: โครงการ++ ขาย คอนโด เดอะ ลุมพินี 24, 55.02 ม.2 ชั้น 12, 2 ห้องนอน, 2 ห้องน้ำ, วิวสวย(ไม่บล็อค) ตกแต่งสวยมาก"	13.7264516	100.5679506	ว่าง	- BTS พร้อมพงษ์- 850 ม. - รพ.เทพธารินทร์- 1.6 กม. - Tesco Lotus- 800 ม. - Big C พระราม4- 650 ม. - ตลาดสดท่าเรือคลองเตย- 2.1 กม. - K Village- 450 ม. - ม.กรุงเทพฯ- 2.8 กม. - Major เอกมัย- 2.7 กม. - Gateway เอกมัย- 4.2 กม. - Fifty Fifth Plaza- 3.1 กม. - Empo	Sukhumvit 24 Road	กรุงเทพมหานคร	เขตคลองเตย	คลองตัน	10110	599998	591856	599998	นายหน้า	นายหน้า		0	1	1	1	0	1	0		1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1		1/12/2019 14:10	ขายแล้ว	img_1575209564203.jpg	59	Short-Term
c6327	คอนโด	คอนโดย่านเศรษฐกิจ วิวเมือง พื้นที่ 34 ตรม. 1 ห้องนอน เฟอร์นิเจอร์ครบ	61213	1000000	0	1200000	1000000	1	1	0	34	2					ใหม่	7			2555	ทิศตะวันออก	คอนกรีต	4 เมตร			คอนโดย่านเศรษฐกิจ วิวเมือง พื้นที่ 34 ตารางเมตร มี 1 ห้องนอน 1 ห้องน้ำ 1 ห้องครัว 1 ที่จอดรถ ราคา 1.7 ล้านบาท ห้องสวยตกแต่งอย่างลงตัว มีเฟอร์นิเจอร์ให้ครบพร้อมเข้าอยู่ บรรยากาศดีเงียบสงบเป็นส่วนตัว มีความปลอดภัย การเดินทางสะดวกสบาย ใกล้สิ่งอำนวยควมสะดวก	"19.9268374"""	99.8656528	ว่าง	-สนามบิน 5 กม. -แม็คโคร 3.8 กม. -Big C 4 กม. -ไนท์บาซ่า 3 กม.	123	เชียงราย	เมืองเชียงราย	ริมกก	57100				นายหน้า			0	0	0	0	0	1	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1000	0		6/10/2019 14:28		img_1570372177478.jpg	49	Long-Term
c6591	คอนโด	5C4MG0138 คอนโด 1. 95 ล้านบาท	45135	1000000	0	1100000	1050000	1	1	1	30	5					ใหม่	6			2556	ทิศเหนือ	คอนกรีต	4 เมตร			เป็นคอนโดในโครงการ พร้อมคลับเฮ้าส์และสระว่ายน้ำ อุปกรณ์ภายในครบครัน พร้อมอยู่ใกล้สิ่งอำนวยความสะดวก ตลาด ห้างสรรพสินค้า 	20.2718669	100.0792882	ว่าง	-บิ๊กซี 400 ม. - 7-eleven 800 ม. - ตลาด 1.3 กม. - เซ็นทรัล 200 ม.	45	เชียงราย	เมืองเชียงราย	รอบเวียง	57000				นายหน้า			0	0	1	0	0	1	0		1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	5000	1		7/10/2019 19:55		img_1570478155959.jpg	48	Long-Term
c7254	คอนโด	"ขาย คอนโด อาคารชุด แบงค์คอก ฮอไรซอน รามคำแหง ใน หัวหมาก, บางกะปิ, กรุงเทพมหานคร"	ESMEC0204	2300000	0	2300000	2320000	1	1	1	39.3	4					มือสอง	6	4	พฤษภาคม	2556	ทิศใต้	คอนกรีต	8 เมตร				13.7536915	100.6311176	ว่าง	 แยก - สวนสน (ประมาณ 0.1 กม.)	" แบงค์คอก ฮอไรซอน รามคำแหง , บ้านเลขที่ 788/332 ซอย รามคำแหง 60 รามคำแหง หัวหมาก บางกะปิ กรุงเทพมหานคร"	กรุงเทพมหานคร	เขตบางกะปิ	หัวหมาก	10240	104	104	104	เจ้าของ			0	0	1	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1		7/10/2019 20:10		img_1570479045101.jpg	38	Long-Term
