ID_Property	PropertyType	SellPrice	CostestimateB	MarketPrice	BathRoom	BedRoom	CarPark	HouseArea	Floor	LandR	LandG	LandWA	HomeCondition	BuildingAge	BuildFY	RoadType	RoadWide	AsseStatus	LProvince	LAmphur	LDistrict	LZipCode	ContactS	Blind	Neareducation	Cenmarket	Market	River	Mainroad	Insoi	airconditioner	afan	AirPurifier	Waterheater	WIFI	TV	refrigerator	microwave	gasstove	wardrobe	TCset	sofa	bed	shelves	CCTV	Securityguard	pool	Fitness	Publicarea	ShuttleBus	WVmachine	CWmachine	Elevator	Lobby	ATM	BeautySalon	Balcony	EventR	MeetingR	LivingR	Hairsalon	Laundry	Store	Supermarket	CStore	MFee	Kitchen	PPStatus	Owner	UserType
c9058	คอนโด	2535000	3000000	2800000	1	1	0	20	5				มือสอง	13	2549	คอนกรีต	4 เมตร	ว่าง	อ่างทอง	เมืองอ่างทอง	ตลาดหลวง	14000	นายหน้า	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	800	1	ยังไม่ขาย	59	ระยะสั้น
p6365	อาคารพาณิชย์	6900000	7000000	7000000	0	0	0	56	3	0	0	20	มือสอง	16	2546			ว่าง	กรุงเทพมหานคร	เขตดินแดง	ดินแดง	10400	นายหน้า	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		46	ระยะสั้น
p9783	อาคารพาณิชย์	5000000	4000000	4000000	2	2	1	50	2	0	0	1	มือสอง	13	2549			จำนอง	เชียงราย	เมืองเชียงราย	รอบเวียง	57000	นายหน้า	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		48	ระยะสั้น
c0205	คอนโด	1430000	1300000	1700000	1	1	0	34	5				มือสอง	11	2551	คอนกรีต	8 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	ริมกก	57100	นายหน้า	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	5000	1		48	ระยะสั้น
c2648	คอนโด	3597000	3700000	3650000	1	1	1	28	5				มือสอง	13	2549	คอนกรีต	8 เมตร	ว่าง	ชลบุรี	เมืองชลบุรี	บางปลาสร้อย	20000	นายหน้า	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1200	0	ยังไม่ขาย	59	ระยะสั้น
c4689	คอนโด	3400000	3500000	3700000	1	1	1	35	2				มือสอง	3	2559	คอนกรีต	4 เมตร	ว่าง	กรุงเทพมหานคร	เขตวัฒนา	พระโขนงเหนือ	10110	นายหน้า	0	0	0	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0		38	ระยะสั้น
c6261	คอนโด	10550000	11200000	10600000	2	2	1	55	12				ใหม่	2	2560	คอนกรีต	12 เมตร	ว่าง	กรุงเทพมหานคร	เขตคลองเตย	คลองตัน	10110	นายหน้า	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	ยังไม่ขาย	59	ระยะสั้น
c7827	คอนโด	2000000	21000000	2300000	1	1	1	23	5				ใหม่	5	2557	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	รอบเวียง	57000	นายหน้า	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	10000	1		49	ระยะสั้น
c8393	คอนโด	1950000	2000000	1690000	1	1	1	30	6				ใหม่	5	2557	คอนกรีต	4 เมตร	ว่าง	เชียงราย	เมืองเชียงราย	รอบเวียง	57000	นายหน้า	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	1000	1	ยังไม่ขาย	59	ระยะสั้น
c8867	คอนโด	4710000	5000000	4900000	1	2	1	36	6				มือสอง	13	2549	ยางมะตอย	8 เมตร	ว่าง	ฉะเชิงเทรา	เมืองฉะเชิงเทรา	หน้าเมือง	24000	นายหน้า	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1570	0	ยังไม่ขาย	59	ระยะสั้น
