ID_Lands	ColorType	AnnounceTH	CodeDeed	TypeCode	CodeProperty	SellPrice	Costestimate	CostestimateB	MarketPrice	PriceWA	LandR	LandG	LandWA	Land	Deed	RoadType	RoadWide	GroundLevel	GroundValue	MoreDetails	Latitude	Longitude	AsseStatus	ObservationPoint	Location	LProvince	LAmphur	LDistrict	LZipCode	ContactUo	ContactSo	ContactUt	ContactSt	ContactU	ContactS	Place	Blind	Neareducation	Cenmarket	Market	River	Mainroad	Insoi	Letc	WxD	LandAge	PPStatus	ImageEX	Owner	Created	UserType
l0075	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	ขายที่ดินแปลงสวย 1 ไร่ 3 งาน อ. แม่ริม จ. เชี	l0075	 	562	7000000	8000000	8000000	7500000	10000	1	3	0	50*56	น.ส.4จ.	คอนกรีต	8 เมตร	สูงกว่าถนน	1	สภาพที่ดินเป็นเนินเขา ปลูกหญ้า ปลูกต้นไม้ ไม้ดอก เป็นแนวรั้ว ธรรมชาติสวยงามมาก มีไฟฟ้าและประปาหมู่บ้านเข้าถึง ที่ดินได้รับการดูแลเป็นอย่างดีสามารถปลูกบ้านพักอาศ ัย หรือรีสอร์ทได้ทันที	18.8844312	98.8206351	ว่าง	การเดินทางสะดวกมาก จากถนนหลัก 1096 ผ่านนำ้ตกแ	1096	เชียงใหม่	แม่ริม	โป่งแยง	50180	127	 	127	 	127	เจ้าของ	 	0	0	1	1	0	1	0	 	 	5	ยังไม่ขาย	Defult/Defult.png	59	22/11/2019 17:10	Long-term
l0316	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	Training	l0316	 	 	3600000	3200000	3000000	3400000	750	12	0	0	138x139	น.ส.4จ.	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.4	 	20.05054192	99.87958278	ว่าง	 	0	ลพบุรี	เมืองลพบุรี	โคกตูม	15210	127	 	127	 	127	นายหน้า	 	0	0	0	0	0	1/1/1900 0:00	0	 	 	 	ยังไม่ขาย	Defult/Defult.png	30	17/11/2019 15:41	Long-term
l0401	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	ที่สวย ทำเลงาม บางเสร่	l0401	 	621	8720000	8600000	8500000	8600000	16000	1	1	45	30*87	น.ส.3	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	- ติดถนนสองด้าน ด้านหน้ากว้าง 30 เมตร ลึก 87 เมตร ด้านข้างติดถนน 30 เมตร	12.76552718	100.901103	ว่าง	- ห่างทะเลบางเสร่ 5 นาที  - ถนนคอนกรีตทั้งสอง	Unnamed Road	ชลบุรี	สัตหีบ	บางเสร่	20250	127	 	127	 	127	นายหน้า	 	0	0	0	1	0	0	1	 	 	3	ยังไม่ขาย	Defult/Defult.png	59	18/11/2019 19:32	Long-term
l0437	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	ขายที่ดินเปล่า เนื้อที่ 100 ไร่ ต. ดงมหาวัน อ	l0437	 	6402761	45000000	44200000	43500000	46000000	1125	100	2	4	10*10	น.ส.4จ.	โคลน	ซอยแคบ	สูงกว่าถนน	0.2	 	N/A	N/A	ว่าง	องค์การบริหารส่วนตำบลดงมหาวัน	 ต. ดงมหาวัน อ. เวียงเชียงรุ้ง จ. เชียงราย	เชียงราย	เวียงเชียงรุ้ง	ดงมหาวัน	57210	N/A	 	N/A	 	N/A	เจ้าของ	 	0	0	0	0	0/1/1900 0:00	1	0	 	 	3	 	img_1569590149875.jpg	39	27/9/2019 13:14	Long-term
l0438	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	ขายที่ดินบางซ่อน เขตบางซื่อ 	l0438	 	237	26400000	25200000	25400000	26000000	99999.99999	0	1	มี.ค.-00	20*35.2	ส.ค.-01	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	เข้าซอยเพียง 100 เมตร จากปากซอย 50 เมตร เป็นสถานีรถไฟฟ้าบางซ่อนสายสีม่วง และจากปากซอย 100 เมตร เป็นสถานีรถไฟฟ้าบางซ่อนสายสีแดงอ่อนและชานชาลารถไฟไ ทย ใต้สถานีรถไฟฟ้าเป็นตลาดชุมทางสยามยิปซี ตลาดสดบางซ่อน เหมาะสำหรับอยู่อาศัย ทำอาคารสำนักงาน หรือเพื่อการลงทุนและเก็งกำไร	13.8210122	100.5343289	ว่าง	สถานีรถไฟฟ้าบางซ่อน 50 เมตร บิ๊กซีวงศ์สว่าง 1	1454 กรุงเทพ-นนทบุรี 36	กรุงเทพมหานคร	เขตบางซื่อ	บางซื่อ	10800	127	 	127	นายหน้า	127	เจ้าของ	 	0	1	1	1	0	0	1	 	 	3	ยังไม่ขาย	Defult/Defult.png	59	21/11/2019 7:59	Long-term
l0447	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	"Land In Lang Suan, Chumphon"	l0447	 	412	8200000	8600000	8660000	8430000	3009.17431	6	3	25	109*100	น.ส.3	โคลน	2 เมตร	สูงกว่าถนน	0.1	"Land for sale close to the beach , nearly Koh Pitak, Lang Suan , Chumphon"	9.9537341	99.0761165	ว่าง	"Beach nearly Koh Pitak,Lang Suan , Chumphon"	4012	ชุมพร	หลังสวน	บางน้ำจืด	86150	127	 	127	 	127	นายหน้า	 	0	0	0	0	1	0	0/1/1900 0:00	 	 	10	ยังไม่ขาย	Defult/Defult.png	59	22/11/2019 5:38	Long-term
l0456	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	Training	l0456	 	665000	654000	615000	600000	630000	3336.73469	0	0	196	400x200	น.ส.3	คอนกรีต	2 เมตร	ต่ำกว่าถนน	0.6	 	20.05054163	99.879633	ว่าง	โรงพยาบาล	 	เชียงใหม่	สันกำแพง	*ห้วยแก้ว	 	127	 	127	 	127	เจ้าของ	 	0	0	0	0/1/1900 0:00	0	0	1	 	 	5	ยังไม่ขาย	Defult/Defult.png	63	17/11/2019 15:06	Long-term
l0651	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	5B2MG0054 ขายที่ดิน พื้นที่ 409 ตารางวา ราคา 	l0651	 	5B2MG0054	4300000	5000000	4500000	4500000	9780	0	0	409	10*10	น.ส.2	ยางมะตอย	 	ต่ำกว่าถนน	0.3	 	N/A	N/A	ว่าง	 	 	เชียงราย	เมืองเชียงราย	ริมกก	57100	N/A	 	N/A	 	N/A	นายหน้า	 	0	0/1/1900 0:00	0	0	0	1	0	 	 	3	 	img_1569593092388.jpg	39	27/9/2019 14:04	Short-Term
l0728	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	ที่ดินที่ดี	l0728	 	552	3700000	3500000	3500000	3900000	60000	0	0	50	5*10	น.ส.2	โคลน	2 เมตร	สูงกว่าถนน	0.1	-	16.7137548	98.5775522	ว่าง	-	444	ตาก	อุ้มผาง	อุ้มผาง	63170	127	 	127	 	127	นายหน้า	 	1	0	0	0	1	0	0/1/1900 0:00	 	 	10	ยังไม่ขาย	img_1575376384891.jpg	59	3/12/2019 19:32	Long-term
l0797	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	ขายที่ดินสวย 2 ไร่ใกล้ BTS สายสีเหลือง 40*80 	l0797	 	 	57000000	58200000	58600000	58500000	72319.202	2	0	2	40*80	น.ส.3	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.23	#NAME?	13.6484525	100.6338835	ว่าง	หน้าปากซอยเป็นร้านสุดยอดเนื้อตุ๋น	ซอยแบริ่ง 39 ถ.สุขุมวิท บางนา บางนา กรุงเทพมห	กรุงเทพมหานคร	เขตบางนา	บางนา	10260	104	 	127	 	127	นายหน้า	 	0	0	1	0	0	0	1	 	 	6	ยังไม่ขาย	img_1575252315138.jpg	38	2/12/2019 2:19	Short-Term
