ID_Lands,ColorType,SellPrice,Costestimate,CostestimateB,MarketPrice,PriceWA,LandR,LandG,AsseStatus,LAmphur,LDistrict,Blind,Neareducation,Cenmarket,Market,River,Mainroad,Insoi,Owner,UserType
l3749,พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก,690000000,590000000,600000000,610000000,99999.99999,12,2,ว่าง,เขตดอนเมือง,ตลาดบางเขน*,0,1,1,1,0,1,0,63,ระยะยาว
l8078,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,127560000,135000000,130000000,125000000,300.0,1063,0,ว่าง,หันคา,ไพรนกยูง,0,0,0,0,0,0,1,59,ระยะสั้น
l7711,พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก,122508000,100000000,120000000,150000000,36000.0,8,2,ว่าง,เมืองสมุทรปราการ,ท้ายบ้านใหม่,0,1,1,1,0,1,0,59,ระยะยาว
l8333,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,122400000,125000000,130000000,140000000,10000.81706,30,2,ว่าง,เขตบางขุนเทียน,ท่าข้าม,0,0,0,0,0,1,1,59,ระยะสั้น
l6637,พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม,110000000,200000000,190000000,100000000,4179.8077299999995,65,3,ว่าง,นิคมพัฒนา,พนานิคม,0,0,0,0,0,1,0,59,ระยะสั้น
l6968,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,82000000,80000000,80000000,82500000,6416.777529999999,31,0,ว่าง,เมืองมุกดาหาร,บางทรายใหญ่,0,0,0,0,0,1,0,38,ระยะยาว
l8751,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,81000000,80000000,79000000,80000000,6338.5241399999995,31,0,ว่าง,เมืองมุกดาหาร,บางทรายใหญ่,0,0,0,0,0,1,0,38,ระยะยาว
l9339,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,80000000,65000000,50000000,85000000,99999.99999,0,2,ว่าง,เขตห้วยขวาง,สามเสนนอก,0,1,1,0,0,0,1,59,ระยะยาว
l3320,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,72000000,50000000,50000000,70000000,36000.0,4,3,ฝากขาย,เขตบางซื่อ,บางซื่อ,0,1,1,1,0,0,1,59,ระยะยาว
l0797,พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย,57000000,58200000,58600000,58500000,72319.202,2,0,ว่าง,เขตบางนา,บางนา,0,0,1,0,0,0,1,38,ระยะสั้น
l8995,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,56000000,55500000,57000000,56000000,1250.0,112,0,ฝากขาย,สะเมิง,สะเมิงเหนือ,0,0,0,0,0,0,1,38,ระยะยาว
