ID_Lands	ColorType	SellPrice	Costestimate	CostestimateB	MarketPrice	PriceWA	LandR	LandG	LandWA	Deed	RoadType	RoadWide	GroundLevel	GroundValue	AsseStatus	LProvince	LAmphur	LDistrict	LZipCode	ContactS	Blind	Neareducation	Cenmarket	Market	River	Mainroad	Insoi	LandAge	PPStatus	Owner	UserType
l3749	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	690000000	590000000	600000000	610000000	99999.99999	12	2	69	น.ส.3	คอนกรีต	8 เมตร			ว่าง	กรุงเทพมหานคร	เขตดอนเมือง	ตลาดบางเขน*			0	1	1	1	0	1	0	1	ยังไม่ขาย	63	ระยะยาว
l8078	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	127560000	135000000	130000000	125000000	300	1063	0	0	น.ส.2	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	ชัยนาท	หันคา	ไพรนกยูง	17130	นายหน้า	0	0	0	0	0	0	1	3	ยังไม่ขาย	59	ระยะสั้น
l7711	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	122508000	100000000	120000000	150000000	36000	8	2	3	น.ส.4จ.	ยางมะตอย	8 เมตร	ต่ำกว่าถนน	0.1	ว่าง	สมุทรปราการ	เมืองสมุทรปราการ	ท้ายบ้านใหม่	10280	นายหน้า	0	1	1	1	0	1	0	-	ยังไม่ขาย	59	ระยะยาว
l8333	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	122400000	125000000	130000000	140000000	10000.81706	30	2	39	ส.ค.1	ยางมะตอย	8 เมตร	สูงกว่าถนน	0.1	ว่าง	กรุงเทพมหานคร	เขตบางขุนเทียน	ท่าข้าม	10150	นายหน้า	0	0	0	0	0	1	1	3	ยังไม่ขาย	59	ระยะสั้น
l6637	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	110000000	200000000	190000000	100000000	4179.80773	65	3	17	น.ส.4จ.	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	ระยอง	นิคมพัฒนา	พนานิคม	21180	นายหน้า	0	0	0	0	0	1	0	3	ยังไม่ขาย	59	ระยะสั้น
l6968	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	82000000	80000000	80000000	82500000	6416.77753	31	0	379	น.ส.4จ.	ยางมะตอย	8 เมตร	สูงกว่าถนน	20	ว่าง	มุกดาหาร	เมืองมุกดาหาร	บางทรายใหญ่	49000	เจ้าของ	0	0	0	0	0	1	0	6	ยังไม่ขาย	38	ระยะยาว
l8751	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	81000000	80000000	79000000	80000000	6338.52414	31	0	379	น.ส.4จ.	คอนกรีต	8 เมตร	สูงกว่าถนน	0.3	ว่าง	มุกดาหาร	เมืองมุกดาหาร	บางทรายใหญ่	49000	เจ้าของ	0	0	0	0	0	1	0	5	ยังไม่ขาย	38	ระยะยาว
l9339	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	80000000	65000000	50000000	85000000	99999.99999	0	2	78	น.ส.2	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	กรุงเทพมหานคร	เขตห้วยขวาง	สามเสนนอก	10310	นายหน้า	0	1	1	0	0	0	1	3	ยังไม่ขาย	59	ระยะยาว
l3320	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	72000000	50000000	50000000	70000000	36000	4	3	100	น.ส.4จ.	คอนกรีต	8 เมตร	สูงกว่าถนน	2	ฝากขาย	กรุงเทพมหานคร	เขตบางซื่อ	บางซื่อ	10800	นายหน้า	0	1	1	1	0	0	1	3	ยังไม่ขาย	59	ระยะยาว
l0797	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	57000000	58200000	58600000	58500000	72319.202	2	0	2	น.ส.3	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.23	ว่าง	กรุงเทพมหานคร	เขตบางนา	บางนา	10260	นายหน้า	0	0	1	0	0	0	1	6	ยังไม่ขาย	38	ระยะสั้น
l8995	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	56000000	55500000	57000000	56000000	1250	112	0	0	น.ส.3	โคลน	4 เมตร	สูงกว่าถนน	1	ฝากขาย	เชียงใหม่	สะเมิง	สะเมิงเหนือ	50250	นายหน้า	0	0	0	0	0	0	1	8	ยังไม่ขาย	38	ระยะยาว
l6909	พื้นที่สีแดง – ที่ดินประเภทพาณิชยกรรม	50000000	48500000	48000000	49000000	10416.66667	12	0	0	น.ส.4จ.	ยางมะตอย	8 เมตร			ขายฝาก	สกลนคร	พังโคน	พังโคน	47160	นายหน้า	0	0	0	0	0	1	0	4	ยังไม่ขาย	63	ระยะยาว
l0437	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	45000000	44200000	43500000	46000000	1125	100	2	4	น.ส.4จ.	โคลน	ซอยแคบ	สูงกว่าถนน	0.2	ว่าง	เชียงราย	เวียงเชียงรุ้ง	ดงมหาวัน	57210	เจ้าของ	0	0	0	0	0	1	0	3		39	ระยะยาว
l5535	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	45000000	5000000	50000000	6000000	0	100	0	0	น.ส.4จ.	ดิน	1 เมตร	สูงกว่าถนน	0.3	ขายฝาก	เชียงราย	เวียงเชียงรุ้ง	ดงมหาวัน	57210	นายหน้า	0	0	0	0	1	0	0	10		48	ระยะสั้น
l6253	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	45000000	5000000	50000000	6000000	0	100	0	0	น.ส.4จ.	ดิน	1 เมตร	สูงกว่าถนน	1.2	ขายฝาก	เชียงราย	เวียงเชียงรุ้ง	ดงมหาวัน	57210	นายหน้า	0	0	0	0	1	0	0	10		48	ระยะสั้น
l6433	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	41730000	41000000	41000000	42000000	14951.63024	3	2	1391	น.ส.3	คอนกรีต	8 เมตร	สูงกว่าถนน	0.6	ว่าง	สมุทรปราการ	บางเสาธง	บางเสาธง	10540	เจ้าของ	0	0	0	0	0	0	1	3	ยังไม่ขาย	38	ระยะยาว
l1378	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	38750000	40000000	40000000	39000000	6191.08484	15	2	59	น.ส.2	ยางมะตอย	12 เมตร	ต่ำกว่าถนน	0.5	ว่าง	อุบลราชธานี	สำโรง	โนนกาเล็น	34360	นายหน้า	0	1	0	0	0	1	0	5	ยังไม่ขาย	59	ระยะสั้น
l8331	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	35900000	35000000	35900000	35900000	448750	3	2	80	น.ส.4จ.	คอนกรีต	8 เมตร	สูงกว่าถนน	0.5	ว่าง	ภูเก็ต	ถลาง	ป่าคลอก	83110	เจ้าของ	0	0	0	0	0	0	1	2		38	ระยะยาว
l3871	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	31360000	29800000	30000000	31000000	99999.99999	0	0	196	น.ส.3	คอนกรีต	4 เมตร			ว่าง	กรุงเทพมหานคร	เขตธนบุรี	หิรัญรูจี	10600	เจ้าของ	0	1	1	0	0	0	1	3	ยังไม่ขาย	63	ระยะยาว
